dataset,arctic_lat_min,aa_ratio,arctic_trend_C_per_decade,global_trend_C_per_decade
era5,55.0,2.581912052158865,0.5334387839734344,0.20660610167856014
era5,57.5,2.754156199944385,0.5690254758843465,0.20660610167856014
era5,60.0,2.8800705996397555,0.5950401591506029,0.20660610167856014
era5,62.5,3.069038279685199,0.6340820348680334,0.20660610167856014
era5,65.0,3.1993315199350985,0.6610014133111333,0.20660610167856014
era5,67.5,3.362615810058862,0.6947369439589551,0.20660610167856014
era5,70.0,3.4223598362155454,0.7070804243017693,0.20660610167856014
era5,72.5,3.4272609387562527,0.7080930219916317,0.20660610167856014
era5,75.0,3.3934213273964917,0.7011015518062741,0.20660610167856014
era5,77.5,3.2030761202869735,0.6617750705921783,0.20660610167856014
era5,80.0,2.951336195683488,0.6097640661329975,0.20660610167856014
